"trialNo","trialCode","stimFile","trialDuration","timeElapsed","trialOnset","corrAns","clockSource","trialType","questionTxt"
1,0,,0.814828267670237,0.814828267670237,0,,,,
2,1,"7_d12Clock_a4.tiff",2,2.81482826767024,0.814828267670237,,,,
3,0,,0.811838475638069,3.62666674330831,2.81482826767024,,,,
4,1,"3_d24Clock_a2.tiff",2,5.62666674330831,3.62666674330831,,,,
5,0,,0.951737054507248,6.57840379781555,5.62666674330831,,,,
6,1,"4_d12Clock_a6.tiff",2,8.57840379781555,6.57840379781555,,,,
7,0,,0.719580512843095,9.29798431065865,8.57840379781555,,,,
8,1,"4_d24Clock_a4.tiff",2,11.2979843106586,9.29798431065865,,,,
9,0,,0.612252134014852,11.9102364446735,11.2979843106586,,,,
10,3,"EmptyImageryBox.tiff",3,14.9102364446735,11.9102364446735,,,,
11,5,"4_d12Clock_a4.tiff",3,17.9102364446735,14.9102364446735,2,"4_d24Clock_a4.tiff","FP","Is this the same IMAGE?"
12,0,,0.910386214847676,18.8206226595212,17.9102364446735,,,,
13,1,"4_d12Clock_a3.tiff",2,20.8206226595212,18.8206226595212,,,,
14,0,,0.772400822490454,21.5930234820116,20.8206226595212,,,,
15,1,"5_d24Clock_a3.tiff",2,23.5930234820116,21.5930234820116,,,,
16,0,,0.54197514790576,24.1349986299174,23.5930234820116,,,,
17,1,"7_d12Clock_a1.tiff",2,26.1349986299174,24.1349986299174,,,,
18,0,,0.669381472165696,26.8043801020831,26.1349986299174,,,,
19,3,"EmptyImageryBox.tiff",3,29.8043801020831,26.8043801020831,,,,
20,5,"7_d12Clock_a1.tiff",3,32.8043801020831,29.8043801020831,1,"7_d12Clock_a1.tiff","TP","Is this the same IMAGE?"
21,0,,0.994748110184446,33.7991282122675,32.8043801020831,,,,
22,1,"2_d12Clock_a1.tiff",2,35.7991282122675,33.7991282122675,,,,
23,0,,0.763196059386246,36.5623242716538,35.7991282122675,,,,
24,1,"8_d24Clock_a4.tiff",2,38.5623242716538,36.5623242716538,,,,
25,0,,0.634463159018196,39.196787430672,38.5623242716538,,,,
26,3,"EmptyImageryBox.tiff",3,42.196787430672,39.196787430672,,,,
27,4,"8_d12Clock_a4.tiff",3,45.196787430672,42.196787430672,1,"8_d24Clock_a4.tiff","TP","Is this the same TIME?"
28,0,,0.608838195679709,45.8056256263517,45.196787430672,,,,
29,1,"10_d12Clock_a5.tiff",2,47.8056256263517,45.8056256263517,,,,
30,0,,0.645624404889531,48.4512500312412,47.8056256263517,,,,
31,1,"8_d24Clock_a2.tiff",2,50.4512500312412,48.4512500312412,,,,
32,0,,0.680306292255409,51.1315563234966,50.4512500312412,,,,
33,3,"EmptyImageryBox.tiff",3,54.1315563234966,51.1315563234966,,,,
34,5,"8_d24Clock_a2.tiff",3,57.1315563234966,54.1315563234966,1,"8_d24Clock_a2.tiff","TP","Is this the same IMAGE?"
35,0,,0.926394042675383,58.057950366172,57.1315563234966,,,,
36,1,"6_d24Clock_a5.tiff",2,60.057950366172,58.057950366172,,,,
37,0,,0.849934081663378,60.9078844478354,60.057950366172,,,,
38,1,"1_d12Clock_a3.tiff",2,62.9078844478354,60.9078844478354,,,,
39,0,,0.510157683398575,63.418042131234,62.9078844478354,,,,
40,1,"2_d24Clock_a4.tiff",2,65.418042131234,63.418042131234,,,,
41,0,,0.641283534583636,66.0593256658176,65.418042131234,,,,
42,3,"EmptyImageryBox.tiff",3,69.0593256658176,66.0593256658176,,,,
43,4,"2_d12Clock_a2.tiff",3,72.0593256658176,69.0593256658176,2,"2_d24Clock_a4.tiff","TN","Is this the same TIME?"
44,0,,0.613248638808727,72.6725743046263,72.0593256658176,,,,
45,1,"1_d24Clock_a2.tiff",2,74.6725743046263,72.6725743046263,,,,
46,0,,0.560910450527444,75.2334847551538,74.6725743046263,,,,
47,1,"5_d12Clock_a5.tiff",2,77.2334847551538,75.2334847551538,,,,
48,0,,0.943523743189871,78.1770084983436,77.2334847551538,,,,
49,3,"EmptyImageryBox.tiff",3,81.1770084983436,78.1770084983436,,,,
50,4,"5_d12Clock_a3.tiff",3,84.1770084983436,81.1770084983436,2,"5_d12Clock_a5.tiff","TN","Is this the same TIME?"
51,0,,0.842743452638388,85.019751950982,84.1770084983436,,,,
52,1,"9_d24Clock_a6.tiff",2,87.019751950982,85.019751950982,,,,
53,0,,0.600166486226954,87.619918437209,87.019751950982,,,,
54,1,"6_d12Clock_a3.tiff",2,89.619918437209,87.619918437209,,,,
55,0,,0.62406536063645,90.2439837978454,89.619918437209,,,,
56,3,"EmptyImageryBox.tiff",3,93.2439837978454,90.2439837978454,,,,
57,0,,0.822865331661887,94.0668491295073,93.2439837978454,,,,
58,1,"1_d24Clock_a5.tiff",2,96.0668491295073,94.0668491295073,,,,
59,0,,0.610295200836845,96.6771443303442,96.0668491295073,,,,
60,1,"6_d12Clock_a6.tiff",2,98.6771443303442,96.6771443303442,,,,
61,0,,0.880754858837463,99.5578991891816,98.6771443303442,,,,
62,1,"9_d12Clock_a1.tiff",2,101.557899189182,99.5578991891816,,,,
63,0,,0.684370440780185,102.242269629962,101.557899189182,,,,
64,3,"EmptyImageryBox.tiff",3,105.242269629962,102.242269629962,,,,
65,4,"9_d24Clock_a1.tiff",3,108.242269629962,105.242269629962,1,"9_d12Clock_a1.tiff","TP","Is this the same TIME?"
66,0,,0.683147224481218,108.925416854443,108.242269629962,,,,
67,1,"7_d24Clock_a6.tiff",2,110.925416854443,108.925416854443,,,,
68,0,,0.891578002483584,111.816994856927,110.925416854443,,,,
69,1,"3_d12Clock_a1.tiff",2,113.816994856927,111.816994856927,,,,
70,0,,0.919835814042017,114.736830670969,113.816994856927,,,,
71,3,"EmptyImageryBox.tiff",3,117.736830670969,114.736830670969,,,,
72,4,"3_d24Clock_a2.tiff",3,120.736830670969,117.736830670969,2,"3_d12Clock_a1.tiff","TN","Is this the same TIME?"
73,0,,0.851803198456764,121.588633869425,120.736830670969,,,,
74,1,"3_d24Clock_a4.tiff",2,123.588633869425,121.588633869425,,,,
75,0,,0.686905823997222,124.275539693423,123.588633869425,,,,
76,1,"2_d24Clock_a2.tiff",2,126.275539693423,124.275539693423,,,,
77,0,,0.617553772754036,126.893093466177,126.275539693423,,,,
78,3,"EmptyImageryBox.tiff",3,129.893093466177,126.893093466177,,,,
79,5,"2_d12Clock_a2.tiff",3,132.893093466177,129.893093466177,2,"2_d24Clock_a2.tiff","FP","Is this the same IMAGE?"
80,0,,0.836063849623315,133.7291573158,132.893093466177,,,,
81,1,"10_d12Clock_a2.tiff",2,135.7291573158,133.7291573158,,,,
82,0,,0.844811581308022,136.573968897108,135.7291573158,,,,
83,1,"3_d24Clock_a5.tiff",2,138.573968897108,136.573968897108,,,,
84,0,,0.964399865246378,139.538368762354,138.573968897108,,,,
85,1,"8_d24Clock_a1.tiff",2,141.538368762354,139.538368762354,,,,
86,0,,0.590989804593846,142.129358566948,141.538368762354,,,,
87,1,"4_d12Clock_a1.tiff",2,144.129358566948,142.129358566948,,,,
88,0,,0.650624567293562,144.779983134242,144.129358566948,,,,
89,3,"EmptyImageryBox.tiff",3,147.779983134242,144.779983134242,,,,
90,4,"4_d24Clock_a1.tiff",3,150.779983134242,147.779983134242,1,"4_d12Clock_a1.tiff","TP","Is this the same TIME?"
91,0,,0.84221053251531,151.622193666757,150.779983134242,,,,
92,1,"8_d24Clock_a5.tiff",2,153.622193666757,151.622193666757,,,,
93,0,,0.582909547374584,154.205103214132,153.622193666757,,,,
94,1,"7_d24Clock_a3.tiff",2,156.205103214132,154.205103214132,,,,
95,0,,0.967484304565005,157.172587518697,156.205103214132,,,,
96,3,"EmptyImageryBox.tiff",3,160.172587518697,157.172587518697,,,,
97,5,"7_d24Clock_a3.tiff",3,163.172587518697,160.172587518697,1,"7_d24Clock_a3.tiff","TP","Is this the same IMAGE?"
98,0,,0.927937955129892,164.100525473827,163.172587518697,,,,
99,1,"9_d24Clock_a4.tiff",2,166.100525473827,164.100525473827,,,,
100,0,,0.58763762388844,166.688163097715,166.100525473827,,,,
101,1,"2_d12Clock_a6.tiff",2,168.688163097715,166.688163097715,,,,
102,0,,0.773066686931998,169.461229784647,168.688163097715,,,,
103,3,"EmptyImageryBox.tiff",3,172.461229784647,169.461229784647,,,,
104,0,,0.829297605552711,173.2905273902,172.461229784647,,,,
105,1,"5_d12Clock_a6.tiff",2,175.2905273902,173.2905273902,,,,
106,0,,0.91466392041184,176.205191310612,175.2905273902,,,,
107,1,"10_d12Clock_a3.tiff",2,178.205191310612,176.205191310612,,,,
108,0,,0.717944335425273,178.923135646037,178.205191310612,,,,
109,1,"9_d12Clock_a2.tiff",2,180.923135646037,178.923135646037,,,,
110,0,,0.926680797128938,181.849816443166,180.923135646037,,,,
111,3,"EmptyImageryBox.tiff",3,184.849816443166,181.849816443166,,,,
112,5,"9_d24Clock_a2.tiff",3,187.849816443166,184.849816443166,2,"9_d12Clock_a2.tiff","FP","Is this the same IMAGE?"
